autor,assuntoGeral,n
Deputada MarÃ­lia Campos,CrianÃ§a e Adolescente,9
Deputado Noraldino JÃºnior,CrianÃ§a e Adolescente,9
Deputado AntÃ´nio Lerin,CrianÃ§a e Adolescente,8
Deputado Douglas Melo,CrianÃ§a e Adolescente,8
DEPUTADO LEONARDO MOREIRA,CRIANÃ‡A E ADOLESCENTE,68
DEPUTADA LUZIA FERREIRA,CRIANÃ‡A E ADOLESCENTE,28
DEPUTADO ARLEN SANTIAGO,CRIANÃ‡A E ADOLESCENTE,28
DEPUTADO BOSCO,CRIANÃ‡A E ADOLESCENTE,28
DEPUTADO JOÃƒO LEITE,CRIANÃ‡A E ADOLESCENTE,28
DEPUTADO EROS BIONDINI,CRIANÃ‡A E ADOLESCENTE,20
DEPUTADA ANA MARIA RESENDE,CRIANÃ‡A E ADOLESCENTE,16
DEPUTADO DURVAL Ã‚NGELO,CRIANÃ‡A E ADOLESCENTE,15
DEPUTADO ANDRÃ‰ QUINTÃƒO,CRIANÃ‡A E ADOLESCENTE,14
DEPUTADO GILBERTO ABRAMO,CRIANÃ‡A E ADOLESCENTE,14
DEPUTADO CABO JÃšLIO,CRIANÃ‡A E ADOLESCENTE,11
DEPUTADO DINIS PINHEIRO,CRIANÃ‡A E ADOLESCENTE,10
DEPUTADO ALENCAR DA SILVEIRA JR,CRIANÃ‡A E ADOLESCENTE,9
DEPUTADO CÃ‰LIO MOREIRA,CRIANÃ‡A E ADOLESCENTE,9
DEPUTADO GUSTAVO CORRÃŠA,CRIANÃ‡A E ADOLESCENTE,9
DEPUTADO MAURI TORRES,CRIANÃ‡A E ADOLESCENTE,9
DEPUTADO WELITON PRADO,CRIANÃ‡A E ADOLESCENTE,9
Deputado Doutor Jean Freire,Cultura,28
Deputado Bosco,Cultura,18
Deputado Glaycon Franco,Cultura,12
Deputado Marquinho Lemos,Cultura,12
Deputado Bruno Engler,Cultura,10
Deputado Cristiano Silveira,Cultura,9
Deputado Fred Costa,Cultura,9
Deputado AntÃ´nio Lerin,Cultura,8
DEPUTADO ALMIR PARACA,CULTURA,28
DEPUTADA LIZA PRADO,CULTURA,20
DEPUTADA ELISA COSTA,CULTURA,19
GOVERNADOR ANTONIO AUGUSTO JUNHO ANASTASIA,CULTURA,18
DEPUTADO LEONARDO MOREIRA,CULTURA,16
DEPUTADO GILBERTO ABRAMO,CULTURA,14
DEPUTADO JOÃƒO LEITE,CULTURA,13
DEPUTADO MIGUEL MARTINI,CULTURA,13
DEPUTADO ROGÃ‰RIO CORREIA,CULTURA,13
DEPUTADO INÃCIO FRANCO,CULTURA,11
DEPUTADO DURVAL Ã‚NGELO,CULTURA,10
DEPUTADO FÃBIO CHEREM,CULTURA,9
DEPUTADA ANA MARIA RESENDE,CULTURA,7
DEPUTADA JÃ” MORAES,CULTURA,7
DEPUTADA LÃšCIA PACÃFICO,CULTURA,7
DEPUTADA MARIA OLÃVIA,CULTURA,7
DEPUTADA MARIA TEREZA LARA,CULTURA,7
DEPUTADO ALBERTO PINTO COELHO,CULTURA,7
DEPUTADO ANDRÃ‰ QUINTÃƒO,CULTURA,7
DEPUTADO CARLOS PIMENTA,CULTURA,7
DEPUTADO CHICO RAFAEL,CULTURA,7
DEPUTADO DOMINGOS SÃVIO,CULTURA,7
DEPUTADO DOUTOR RONALDO,CULTURA,7
DEPUTADO FÃBIO AVELAR,CULTURA,7
DEPUTADO LAUDELINO AUGUSTO,CULTURA,7
DEPUTADO LUIZ HUMBERTO CARNEIRO,CULTURA,7
DEPUTADO MÃRCIO KANGUSSU,CULTURA,7
DEPUTADO PADRE JOÃƒO,CULTURA,7
DEPUTADO PINDUCA FERREIRA,CULTURA,7
DEPUTADO SEBASTIÃƒO NAVARRO VIEIRA,CULTURA,7
DEPUTADO WELITON PRADO,CULTURA,7
Defensoria PÃºblica,Defensoria PÃºblica do Estado de Minas Gerais (DPMG),16
GOVERNADOR ANTONIO AUGUSTO JUNHO ANASTASIA,DEFENSORIA PÃšBLICA DO ESTADO DE MINAS GERAIS (DPMG),11
DEPUTADO GILBERTO ABRAMO,DEFENSORIA PÃšBLICA DO ESTADO DE MINAS GERAIS (DPMG),7
DEPUTADO AMBRÃ“SIO PINTO,DEFENSORIA PÃšBLICA DO ESTADO DE MINAS GERAIS (DPMG),6
GOVERNADOR NEWTON CARDOSO,DEFENSORIA PÃšBLICA DO ESTADO DE MINAS GERAIS (DPMG),5
Deputada MarÃ­lia Campos,Defesa Civil,6
Deputado RogÃ©rio Correia,Defesa Civil,6
DEPUTADO REINALDO DE LIMA,DEFESA CIVIL,5
Deputado Cleitinho Azevedo,Defesa do Consumidor,140
Deputado Douglas Melo,Defesa do Consumidor,44
Deputado Elismar Prado,Defesa do Consumidor,32
Deputado Ulysses Gomes,Defesa do Consumidor,32
Deputado Alencar da Silveira Jr.,Defesa do Consumidor,22
Deputada Ione Pinheiro,Defesa do Consumidor,10
Deputado Antonio Carlos Arantes,Defesa do Consumidor,10
Deputado Charles Santos,Defesa do Consumidor,10
Deputado Coronel Henrique,Defesa do Consumidor,10
Deputado Doutor Jean Freire,Defesa do Consumidor,10
Deputado Gil Pereira,Defesa do Consumidor,10
Deputado Luiz Humberto Carneiro,Defesa do Consumidor,10
Governador Romeu Zema Neto,Defesa do Consumidor,10
Deputado Carlos Henrique,Defesa do Consumidor,9
Deputado AntÃ´nio Jorge,Defesa do Consumidor,8
DEPUTADO LEONARDO MOREIRA,DEFESA DO CONSUMIDOR,326
DEPUTADO GUSTAVO VALADARES,DEFESA DO CONSUMIDOR,78
DEPUTADO DUARTE BECHIR,DEFESA DO CONSUMIDOR,36
DEPUTADO GILBERTO ABRAMO,DEFESA DO CONSUMIDOR,34
DEPUTADO FRED COSTA,DEFESA DO CONSUMIDOR,32
DEPUTADA LIZA PRADO,DEFESA DO CONSUMIDOR,29
DEPUTADO ALENCAR DA SILVEIRA JR,DEFESA DO CONSUMIDOR,28
DEPUTADO BOSCO,DEFESA DO CONSUMIDOR,28
DEPUTADO DOUTOR WILSON BATISTA,DEFESA DO CONSUMIDOR,28
DEPUTADO MARCOS HELÃŠNIO,DEFESA DO CONSUMIDOR,21
DEPUTADO CARLIN MOURA,DEFESA DO CONSUMIDOR,20
DEPUTADO FÃBIO CHEREM,DEFESA DO CONSUMIDOR,18
DEPUTADO GUSTAVO CORRÃŠA,DEFESA DO CONSUMIDOR,18
DEPUTADO CÃ‰LIO MOREIRA,DEFESA DO CONSUMIDOR,17
DEPUTADO DINIS PINHEIRO,DEFESA DO CONSUMIDOR,14
DEPUTADO DOUTOR VIANA,DEFESA DO CONSUMIDOR,14
DEPUTADO SIDINHO DO FERROTACO,DEFESA DO CONSUMIDOR,14
GOVERNADOR HÃ‰LIO GARCIA,DEPARTAMENTO DE ESTRADAS DE RODAGEM DO ESTADO DE MINAS GERAIS (DER),19
GOVERNADOR AÃ‰CIO NEVES,DEPARTAMENTO DE ESTRADAS DE RODAGEM DO ESTADO DE MINAS GERAIS (DER),14
DEPUTADO ARLEN SANTIAGO,DEPARTAMENTO DE ESTRADAS DE RODAGEM DO ESTADO DE MINAS GERAIS (DER),9
DEPUTADO JOSÃ‰ MILTON,DEPARTAMENTO DE ESTRADAS DE RODAGEM DO ESTADO DE MINAS GERAIS (DER),6
GOVERNADOR HÃ‰LIO GARCIA,DEPARTAMENTO DE OBRAS PÃšBLICAS DO ESTADO DE MINAS GERAIS (DEOP-MG),5
DEPUTADO GUSTAVO VALADARES,DEPARTAMENTO DE TRÃ‚NSITO DE MINAS GERAIS (DETRAN-MG),10
DEPUTADO DOUTOR VIANA,DEPARTAMENTO DE TRÃ‚NSITO DE MINAS GERAIS (DETRAN-MG),7
GOVERNADOR HÃ‰LIO GARCIA,DEPARTAMENTO ESTADUAL DE TELECOMUNICAÃ‡Ã•ES DE MINAS GERAIS (DETEL-MG),12
Deputado Felipe AttiÃª,Deputado Estadual,9
DEPUTADO CÃ‰LIO MOREIRA,DEPUTADO ESTADUAL,11
MESA DA ASSEMBLÃ‰IA,DEPUTADO ESTADUAL,5
DEPUTADO LEONARDO MOREIRA,DESENVOLVIMENTO REGIONAL,28
DEPUTADO DALMO RIBEIRO SILVA,DESENVOLVIMENTO REGIONAL,14
GOVERNADOR AÃ‰CIO NEVES,DESENVOLVIMENTO REGIONAL,7
Deputado Cleitinho Azevedo,Direitos Humanos,50
Deputado Doutor Jean Freire,Direitos Humanos,38
Deputado AntÃ´nio Carlos Arantes,Direitos Humanos,32
Deputado Celinho do Sinttrocel,Direitos Humanos,32
Deputado Paulo Lamac,Direitos Humanos,32
Deputada Ana Paula Siqueira,Direitos Humanos,30
Deputada AndrÃ©ia de Jesus,Direitos Humanos,22
Deputada Leninha,Direitos Humanos,22
Deputado Bruno Engler,Direitos Humanos,22
Deputada Beatriz Cerqueira,Direitos Humanos,20
Deputado Sargento Rodrigues,Direitos Humanos,20
Deputado Cristiano Silveira,Direitos Humanos,16
Deputada Laura Serrano,Direitos Humanos,12
Deputado Alencar da Silveira Jr.,Direitos Humanos,12
Deputado BetÃ£o,Direitos Humanos,12
Deputado Carlos Pimenta,Direitos Humanos,12
Deputado Mauro Tramonte,Direitos Humanos,12
Deputado Osvaldo Lopes,Direitos Humanos,12
DEPUTADO DURVAL Ã‚NGELO,DIREITOS HUMANOS,49
DEPUTADA ANA MARIA RESENDE,DIREITOS HUMANOS,42
DEPUTADO EROS BIONDINI,DIREITOS HUMANOS,40
DEPUTADO ROGÃ‰RIO CORREIA,DIREITOS HUMANOS,36
DEPUTADO FRED COSTA,DIREITOS HUMANOS,32
DEPUTADA MARIA TEREZA LARA,DIREITOS HUMANOS,20
DEPUTADO LEONARDO MOREIRA,DIREITOS HUMANOS,20
DEPUTADO JOÃƒO BATISTA DE OLIVEIRA,DIREITOS HUMANOS,13
GOVERNADOR ITAMAR FRANCO,DIREITOS HUMANOS,12
DEPUTADO CABO JÃšLIO,DIREITOS HUMANOS,11
DEPUTADO MARQUES ABREU,DIREITOS HUMANOS,11
DEPUTADA JÃ” MORAES,DIREITOS HUMANOS,9
DEPUTADO ADELMO CARNEIRO LEÃƒO,DIREITOS HUMANOS,9
DEPUTADO BIEL ROCHA,DIREITOS HUMANOS,9
DEPUTADA ELAINE MATOZINHOS,DIREITOS HUMANOS,8
COMISSÃƒO ASSUNTOS MUNICIPAIS E REGIONALIZAÃ‡ÃƒO,DIVISÃƒO ADMINISTRATIVA,20
DEPUTADO GERALDO DA COSTA PEREIRA,DIVISÃƒO ADMINISTRATIVA,6
DEPUTADO ROMEU QUEIROZ,DIVISÃƒO JUDICIÃRIA,5
Deputado Bruno Engler,Droga,10
Deputado Cleitinho Azevedo,Droga,10
DEPUTADO ALENCAR DA SILVEIRA JR,DROGA,9
DEPUTADO CARLOS HENRIQUE,DROGA,9
DEPUTADO RICARDO DUARTE,DROGA,7
DEPUTADO DALMO RIBEIRO SILVA,DROGA,6
GOVERNADOR EDUARDO AZEREDO,DROGA,5
Deputado Cleitinho Azevedo,EducaÃ§Ã£o,50
Deputado Duarte Bechir,EducaÃ§Ã£o,32
Deputado Fred Costa,EducaÃ§Ã£o,32
Deputada Beatriz Cerqueira,EducaÃ§Ã£o,20
Deputado Sargento Rodrigues,EducaÃ§Ã£o,20
Deputado Charles Santos,EducaÃ§Ã£o,12
Deputado Glaycon Franco,EducaÃ§Ã£o,12
Deputado Mauro Tramonte,EducaÃ§Ã£o,12
Deputada Delegada Sheila,EducaÃ§Ã£o,10
Deputada Laura Serrano,EducaÃ§Ã£o,10
Deputado Antonio Carlos Arantes,EducaÃ§Ã£o,10
Deputado BartÃ´,EducaÃ§Ã£o,10
Deputado Betinho Pinto Coelho,EducaÃ§Ã£o,10
Deputado Bruno Engler,EducaÃ§Ã£o,10
Deputado Coronel Henrique,EducaÃ§Ã£o,10
Deputado Coronel Sandro,EducaÃ§Ã£o,10
Deputado Guilherme da Cunha,EducaÃ§Ã£o,10
Deputado JoÃ£o Leite,EducaÃ§Ã£o,10
Deputado LÃ©o Portela,EducaÃ§Ã£o,10
Deputado Leandro Genaro,EducaÃ§Ã£o,10
Deputado Professor Wendel Mesquita,EducaÃ§Ã£o,10
Deputado Raul BelÃ©m,EducaÃ§Ã£o,10
Deputado Tadeu Martins Leite,EducaÃ§Ã£o,10
Deputado ZÃ© Reis,EducaÃ§Ã£o,10
DEPUTADO LEONARDO MOREIRA,EDUCAÃ‡ÃƒO,50
DEPUTADO ANDRÃ‰ QUINTÃƒO,EDUCAÃ‡ÃƒO,46
DEPUTADO ALMIR PARACA,EDUCAÃ‡ÃƒO,40
DEPUTADO DALMO RIBEIRO SILVA,EDUCAÃ‡ÃƒO,34
COMISSÃƒO PARTICIPAÃ‡ÃƒO POPULAR,EDUCAÃ‡ÃƒO,28
DEPUTADO BOSCO,EDUCAÃ‡ÃƒO,28
DEPUTADO GUSTAVO VALADARES,EDUCAÃ‡ÃƒO,22
DEPUTADO JORGE EDUARDO DE OLIVEIRA,EDUCAÃ‡ÃƒO,22
DEPUTADO ADALCLEVER LOPES,EDUCAÃ‡ÃƒO,21
DEPUTADO WALTER TOSTA,EDUCAÃ‡ÃƒO,20
DEPUTADO ANTÃ”NIO JÃšLIO,EDUCAÃ‡ÃƒO,19
DEPUTADA ANA MARIA RESENDE,EDUCAÃ‡ÃƒO,14
DEPUTADO DINIS PINHEIRO,EDUCAÃ‡ÃƒO,12
DEPUTADO JOÃƒO LEITE,EDUCAÃ‡ÃƒO,12
DEPUTADO MÃRCIO CUNHA,EDUCAÃ‡ÃƒO,12
GOVERNADOR ITAMAR FRANCO,EDUCAÃ‡ÃƒO,12
Governador Fernando Damata Pimentel,Empresa AssistÃªncia TÃ©cnica ExtensÃ£o Rural Estado Minas Gerais (EMATER-MG),9
GOVERNADOR HÃ‰LIO GARCIA,EMPRESA ASSISTÃŠNCIA TÃ‰CNICA EXTENSÃƒO RURAL ESTADO MINAS GERAIS (EMATER-MG),7
GOVERNADOR HÃ‰LIO GARCIA,EMPRESA PÃšBLICA,11
DEPUTADO ELMIRO NASCIMENTO,EMPRESA PÃšBLICA,5
Deputado Cleitinho Azevedo,Energia,20
Deputado Professor Cleiton,Energia,10
Deputado Gil Pereira,Energia,6
DEPUTADO DALMO RIBEIRO SILVA,ENERGIA,10
DEPUTADO CARLOS PIMENTA,ENERGIA,7
DEPUTADO MÃRCIO KANGUSSU,ENERGIA,7
DEPUTADO ANDERSON ADAUTO,ENERGIA,6
GOVERNADOR HÃ‰LIO GARCIA,ENERGIA,6
Deputado Cleitinho Azevedo,Energia ElÃ©trica,10
Deputado Gil Pereira,Energia ElÃ©trica,10
Deputado LeonÃ­dio BouÃ§as,Energia ElÃ©trica,10
Deputado Alencar da Silveira Jr.,Energia ElÃ©trica,8
DEPUTADO MARCOS HELÃŠNIO,ENERGIA ELÃ‰TRICA,14
DEPUTADO GERALDO REZENDE,ENERGIA ELÃ‰TRICA,7
DEPUTADO PAULO PIAU,ENERGIA ELÃ‰TRICA,7
GOVERNADOR AÃ‰CIO NEVES,ENERGIA ELÃ‰TRICA,7
GOVERNADOR EDUARDO AZEREDO,ENERGIA ELÃ‰TRICA,5
Deputado Glaycon Franco,Ensino PÃºblico Estadual,20
Deputado Doutor Jean Freire,Ensino PÃºblico Estadual,17
Deputado Noraldino JÃºnior,Ensino PÃºblico Estadual,17
Deputado Professor Cleiton,Ensino PÃºblico Estadual,12
Deputada Beatriz Cerqueira,Ensino PÃºblico Estadual,10
Deputada Ione Pinheiro,Ensino PÃºblico Estadual,10
Deputada Celise Laviola,Ensino PÃºblico Estadual,8
Deputada Geisa Teixeira,Ensino PÃºblico Estadual,8
Deputada MarÃ­lia Campos,Ensino PÃºblico Estadual,8
Deputado AndrÃ© QuintÃ£o,Ensino PÃºblico Estadual,8
Deputado AntÃ´nio Lerin,Ensino PÃºblico Estadual,8
Deputado Bosco,Ensino PÃºblico Estadual,8
Deputado Cabo JÃºlio,Ensino PÃºblico Estadual,8
Deputado Celinho do Sinttrocel,Ensino PÃºblico Estadual,8
Deputado Cristiano Silveira,Ensino PÃºblico Estadual,8
Deputado Douglas Melo,Ensino PÃºblico Estadual,8
Deputado Duarte Bechir,Ensino PÃºblico Estadual,8
Deputado Durval Ã‚ngelo,Ensino PÃºblico Estadual,8
Deputado Elismar Prado,Ensino PÃºblico Estadual,8
Deputado Emidinho Madeira,Ensino PÃºblico Estadual,8
Deputado FÃ¡bio Avelar Oliveira,Ensino PÃºblico Estadual,8
Deputado Fabiano Tolentino,Ensino PÃºblico Estadual,8
Deputado Fred Costa,Ensino PÃºblico Estadual,8
Deputado Geraldo Pimenta,Ensino PÃºblico Estadual,8
Deputado Gilberto Abramo,Ensino PÃºblico Estadual,8
Deputado Iran Barbosa,Ensino PÃºblico Estadual,8
Deputado Isauro Calais,Ensino PÃºblico Estadual,8
Deputado Ivair Nogueira,Ensino PÃºblico Estadual,8
Deputado LÃ©o Portela,Ensino PÃºblico Estadual,8
Deputado MissionÃ¡rio Marcio Santiago,Ensino PÃºblico Estadual,8
Deputado Neilando Pimenta,Ensino PÃºblico Estadual,8
Deputado Nozinho,Ensino PÃºblico Estadual,8
Deputado Paulo Guedes,Ensino PÃºblico Estadual,8
Deputado Paulo Lamac,Ensino PÃºblico Estadual,8
Deputado Roberto Andrade,Ensino PÃºblico Estadual,8
Deputado RogÃ©rio Correia,Ensino PÃºblico Estadual,8
Deputado Ulysses Gomes,Ensino PÃºblico Estadual,8
Deputado Wander Borges,Ensino PÃºblico Estadual,8
DEPUTADO GUSTAVO VALADARES,ENSINO PÃšBLICO ESTADUAL,12
DEPUTADO WANDER BORGES,ENSINO PÃšBLICO ESTADUAL,9
DEPUTADO JOÃƒO LEITE,ENSINO PÃšBLICO ESTADUAL,6
DEPUTADO PAULO PIAU,ENSINO PÃšBLICO ESTADUAL,6
DEPUTADO ANTÃ”NIO PINHEIRO,ENSINO PÃšBLICO ESTADUAL,5
Deputado RogÃ©rio Correia,Ensino Superior,32
Deputada Beatriz Cerqueira,Ensino Superior,12
Deputado Doutor Jean Freire,Ensino Superior,12
Deputado Cleitinho Azevedo,Ensino Superior,10
Deputado Celinho do Sinttrocel,Ensino Superior,8
DEPUTADO ANDRÃ‰ QUINTÃƒO,ENSINO SUPERIOR,32
DEPUTADO LEONARDO MOREIRA,ENSINO SUPERIOR,32
COMISSÃƒO PARTICIPAÃ‡ÃƒO POPULAR,ENSINO SUPERIOR,18
GOVERNADOR AÃ‰CIO NEVES,ENSINO SUPERIOR,14
DEPUTADO ANDERSON ADAUTO,ENSINO SUPERIOR,6
Deputado Cleitinho Azevedo,Esporte e Lazer,20
Deputado Alencar da Silveira Jr.,Esporte e Lazer,12
Deputado Osvaldo Lopes,Esporte e Lazer,12
Deputado Coronel Henrique,Esporte e Lazer,10
Deputado FÃ¡bio Avelar de Oliveira,Esporte e Lazer,10
Deputado LeonÃ­dio BouÃ§as,Esporte e Lazer,10
Deputado Roberto Andrade,Esporte e Lazer,10
DEPUTADO ALENCAR DA SILVEIRA JR,ESPORTE E LAZER,29
DEPUTADO LEONARDO MOREIRA,ESPORTE E LAZER,23
COMISSÃƒO PARLAMENTAR DE INQUÃ‰RITO,ESPORTE E LAZER,20
DEPUTADO REINALDO DE LIMA,ESPORTE E LAZER,13
DEPUTADO ALENCAR DA SILVEIRA JÃšNIOR,ESPORTE E LAZER,12
DEPUTADO ANSELMO JOSÃ‰ DOMINGOS,ESPORTE E LAZER,11
DEPUTADO FRED COSTA,ESPORTE E LAZER,11
GOVERNADOR AÃ‰CIO NEVES,ESPORTE E LAZER,10
DEPUTADO ALENCAR DA SILVEIRA JR.,ESPORTE E LAZER,9
DEPUTADO CARLIN MOURA,ESPORTE E LAZER,9
DEPUTADO MAURI TORRES,ESPORTE E LAZER,9
DEPUTADO RÃ”MULO VENEROSO,ESPORTE E LAZER,9
DEPUTADO WELITON PRADO,ESPORTE E LAZER,9
GOVERNADOR ANTONIO AUGUSTO JUNHO ANASTASIA,ESPORTE E LAZER,9
DEPUTADA ELAINE MATOZINHOS,ESPORTE E LAZER,8
Governador Fernando Damata Pimentel,Estabelecimento de Ensino,39
Deputada Beatriz Cerqueira,Estabelecimento de Ensino,34
Deputado Geraldo Pimenta,Estabelecimento de Ensino,32
Deputado Cleitinho Azevedo,Estabelecimento de Ensino,30
Deputado Tadeu Martins Leite,Estabelecimento de Ensino,22
Deputado Doutor Jean Freire,Estabelecimento de Ensino,15
Deputado Mauro Tramonte,Estabelecimento de Ensino,10
Deputada MarÃ­lia Campos,Estabelecimento de Ensino,9
Deputado RogÃ©rio Correia,Estabelecimento de Ensino,9
Deputada Celise Laviola,Estabelecimento de Ensino,8
Deputado Bosco,Estabelecimento de Ensino,8
GOVERNADOR AÃ‰CIO NEVES,ESTABELECIMENTO DE ENSINO,197
GOVERNADOR ITAMAR FRANCO,ESTABELECIMENTO DE ENSINO,42
DEPUTADO LEONARDO MOREIRA,ESTABELECIMENTO DE ENSINO,32
GOVERNADOR ANTONIO AUGUSTO JUNHO ANASTASIA,ESTABELECIMENTO DE ENSINO,28
DEPUTADO IRANI BARBOSA,ESTABELECIMENTO DE ENSINO,27
DEPUTADO GUSTAVO VALADARES,ESTABELECIMENTO DE ENSINO,22
DEPUTADO ADEMIR LUCAS,ESTABELECIMENTO DE ENSINO,20
DEPUTADO AGOSTINHO PATRÃšS,ESTABELECIMENTO DE ENSINO,18
DEPUTADO PAULO CÃ‰SAR,ESTABELECIMENTO DE ENSINO,18
DEPUTADO MAURI TORRES,ESTABELECIMENTO DE ENSINO,13
DEPUTADO ANDERSON ADAUTO,ESTABELECIMENTO DE ENSINO,12
DEPUTADO BERNARDO RUBINGER,ESTABELECIMENTO DE ENSINO,11
DEPUTADO JOSÃ‰ MILITÃƒO,ESTABELECIMENTO DE ENSINO,11
DEPUTADA GLÃUCIA BRANDÃƒO,ESTABELECIMENTO DE ENSINO,10
DEPUTADO CARLOS PIMENTA,ESTABELECIMENTO DE ENSINO,10
DEPUTADO DALMO RIBEIRO SILVA,ESTABELECIMENTO DE ENSINO,10
DEPUTADO MAURO MORAES,ESTABELECIMENTO DE ENSINO,10
Deputado Elismar Prado,Estabelecimento Penal,32
Deputada Leninha,Estabelecimento Penal,12
Deputado Cleitinho Azevedo,Estabelecimento Penal,10
GOVERNADOR AÃ‰CIO NEVES,ESTABELECIMENTO PENAL,42
DEPUTADO TARCÃSIO HENRIQUES,ESTABELECIMENTO PENAL,5
Deputado Gil Pereira,Evento,10
COMISSÃƒO PARTICIPAÃ‡ÃƒO POPULAR,EVENTO,10
GOVERNADOR AÃ‰CIO NEVES,EVENTO,10
DEPUTADO FRED COSTA,EVENTO,9
DEPUTADA MARIA JOSÃ‰ HAUEISEN,EVENTO,5
MESA DA ASSEMBLÃ‰IA,EVENTO,5
